epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,6265.28,0.81393,1.05793,0.41257,0.0009,0.36231,0.91587,0.89149,0.94106,0.75786,0.90475,0.89852,0.93463,0.6307,0.74592,1.08782,0.42292,0.00093,0,0.000614,0.000614,0.000614
72,6304.35,0.80302,1.03872,0.40353,0.00086,0.33778,0.90368,0.9118,0.94243,0.75661,0.90602,0.90242,0.93416,0.62537,0.75927,1.07832,0.41168,0.00095,0,0.0005942,0.0005942,0.0005942
73,6336.23,0.79159,1.02859,0.4009,0.00087,0.3335,0.90864,0.90398,0.93715,0.75483,0.90509,0.90446,0.92739,0.63273,0.74644,1.08662,0.42752,0.00094,0,0.0005744,0.0005744,0.0005744
74,6368.37,0.80906,1.03852,0.40064,0.00085,0.34473,0.91211,0.91062,0.94193,0.76266,0.90886,0.91023,0.93832,0.63581,0.73681,1.07515,0.40743,0.00092,0,0.0005546,0.0005546,0.0005546
75,6403.32,0.79458,1.01784,0.40622,0.00086,0.33161,0.90529,0.90984,0.93901,0.75839,0.89507,0.90564,0.926,0.63365,0.72952,1.10721,0.41086,0.00092,0,0.0005348,0.0005348,0.0005348
76,6441.18,0.79138,1.02124,0.38861,0.00085,0.32822,0.91239,0.91101,0.94221,0.75881,0.90261,0.9116,0.93644,0.6335,0.73884,1.08798,0.41251,0.00092,0,0.000515,0.000515,0.000515
77,6478.99,0.79396,1.01771,0.39826,0.00087,0.32893,0.90768,0.90954,0.94367,0.76116,0.90735,0.90981,0.94043,0.6486,0.74804,1.10536,0.41691,0.00094,0,0.0004952,0.0004952,0.0004952
78,6547.11,0.7937,1.02905,0.39101,0.00084,0.32861,0.90745,0.91472,0.94039,0.75804,0.9026,0.90784,0.93053,0.62874,0.74327,1.09923,0.42021,0.00094,0,0.0004754,0.0004754,0.0004754
79,6588.55,0.79543,1.02118,0.38908,0.00086,0.33124,0.89602,0.91218,0.93731,0.75777,0.88634,0.9114,0.9286,0.638,0.74035,1.14961,0.42186,0.00093,0,0.0004556,0.0004556,0.0004556
80,6622.51,0.79214,1.00958,0.37731,0.00084,0.31848,0.91012,0.91303,0.94358,0.75705,0.90774,0.91101,0.93472,0.62971,0.7611,1.14083,0.41452,0.00095,0,0.0004358,0.0004358,0.0004358
